country_code,ECONOMY,region,income_group,2014_GDP,2015_GDP,2016_GDP,2017_GDP,2018_GDP,2019_GDP,2020_GDP,2021_GDP
COG,Congo,Sub-Saharan Africa,Lower middle income,17759.77435,11750.61289,10152.11484,11011.6519,13360.10499,12525.04141,10100.20983,12393.65457
COD,"Congo, Dem. Rep. of the",Sub-Saharan Africa,Low income,35909.05341,37917.67844,40337.5124,37642.4645,47146.00431,47319.63027,45307.67395,51214.98661
CRI,Costa Rica,Latin America & Caribbean,Upper middle income,52016.40892,56441.92082,58847.01959,60516.04462,62335.93133,63951.11477,61520.67463,62535.28968
CIV,Côte d'Ivoire,Sub-Saharan Africa,Lower middle income,46252.89237,45779.97449,47964.23334,51588.15431,58010.9919,58539.60623,61142.87972,69155.90916
HRV,Croatia,Europe & Central Asia,High income,58330.2977,50163.19086,52295.15343,56214.4324,62247.87836,62246.20439,57203.78367,65381.69641
CYP,Cyprus,Europe & Central Asia,High income,23125.23445,19834.55027,20938.67751,22870.73432,25523.49744,25758.99652,24612.49863,26888.84114
CZE,Czechia,Europe & Central Asia,High income,209358.8342,188033.0505,196272.0686,218628.941,248950.1034,252498.0322,245349.49,283457.9285
DNK,Denmark,Europe & Central Asia,High income,352993.6316,302673.0708,313115.9293,332121.0638,356841.2164,347561.3492,356084.8677,394273.9625
DJI,Djibouti,Middle East & North Africa,Lower middle income,2216.200395,2445.484583,2618.587757,2766.868072,2923.362593,3166.329057,3423.458249,3640.696384
DMA,Dominica,Latin America & Caribbean,Upper middle income,520.2074074,540.737037,576.2296296,520.7,554.7703704,611.537037,506.6148148,529.2990836
DOM,Dominican Republic,Latin America & Caribbean,Upper middle income,67170.25456,71155.03523,75682.40931,79998.04598,85555.39039,88941.37198,78844.65583,93638.4472
ECU,Ecuador,Latin America & Caribbean,Upper middle income,101726.331,99290.381,99937.696,104295.862,107562.008,108108.009,98808.01,104701.4386
EGY,Egypt,Middle East & North Africa,Lower middle income,300949.1104,317744.5607,270253.5347,195135.2993,249751.0816,317359.2932,369308.7214,405910.8527
SLV,El Salvador,Latin America & Caribbean,Lower middle income,22593.4724,23438.23794,24191.43,24979.19,26020.85374,26896.66102,24638.72339,28105.14119
GNQ,Equatorial Guinea,Sub-Saharan Africa,Upper middle income,21736.59987,13175.52065,11240.81485,12200.90872,13097.01212,11417.27764,10021.85591,13416.12994
ERI,Eritrea,Sub-Saharan Africa,Low income,2604.234146,2013.196748,2173.713029,1903.966833,2005.658375,1981.857048,2083.927324,2240.638637
EST,Estonia,Europe & Central Asia,High income,26598.65788,22881.55819,24056.48777,26924.3851,30489.5009,31045.59175,30650.28547,35727.55375
SWZ,Eswatini,Sub-Saharan Africa,Lower middle income,4422.322926,4058.639148,3816.015732,4401.526105,4665.138448,4471.045112,3835.240301,4441.724572
