country_code,YEARS,GDP_USdollars_millions,GDP_per_capita_Usdollars
DNK,2016,313115.9293,54866.6156
DNK,2017,332121.0638,57888.20351
DNK,2018,356841.2164,61879.77227
DNK,2019,347561.3492,59966.98847
DNK,2020,356084.8677,61123.72316
DNK,2021,394273.9625,67348.44532
DJI,2008,976.2042752,1105.696857
DJI,2009,1093.910617,1213.968455
DJI,2010,1243.651704,1352.9733
DJI,2011,1453.794455,1551.854595
DJI,2012,1705.189898,1786.854509
DJI,2013,2042.817163,2102.197948
DJI,2014,2216.200395,2240.652637
DJI,2015,2445.484583,2430.273501
DJI,2016,2618.587757,2559.061429
DJI,2017,2766.868072,2659.85416
DJI,2018,2923.362593,2765.198754
DJI,2019,3166.329057,2948.181328
DJI,2020,3423.458249,3140.337941
DJI,2021,3640.696384,3293.087905
DOM,2008,47657.82817,5004.524667
DOM,2009,48071.0681,4982.458973
DOM,2010,53159.5696,5437.899129
DOM,2011,57811.24304,5837.316059
DOM,2012,60657.84755,6047.110069
DOM,2013,62661.70777,6169.281593
DOM,2014,67170.25456,6532.727416
DOM,2015,71155.03523,6837.995773
DOM,2016,75682.40931,7188.957295
DOM,2017,79998.04598,7513.497951
DOM,2018,85555.39039,7947.159354
DOM,2019,88941.37198,8173.344646
DOM,2020,78844.65583,7167.914932
DOM,2021,93638.4472,8422.334668
ECU,2008,61762.635,4260.433184
ECU,2009,62519.686,4240.702593
ECU,2010,69555.367,4640.246344
ECU,2011,79276.664,5202.656459
ECU,2012,87924.544,5678.455721
ECU,2013,95129.659,6050.354611
ECU,2014,101726.331,6374.631486
ECU,2015,99290.381,6130.586676
ECU,2016,99937.696,6079.088736
ECU,2017,104295.862,6246.404252
ECU,2018,107562.008,6321.349401
ECU,2019,108108.009,6233.258167
ECU,2020,98808.01,5617.731831
ECU,2021,104701.4386,5882.851209
EGY,2008,164843.9945,1966.061436
EGY,2009,187956.4398,2198.293576
EGY,2010,214630.372,2459.878927
EGY,2011,231100.3084,2590.809064
EGY,2012,276536.2894,3030.854338
EGY,2013,270782.4593,2899.856265
EGY,2014,300949.1104,3148.256029
EGY,2015,317744.5607,3251.455264
EGY,2016,270253.5347,2708.384645
EGY,2017,195135.2993,1917.049576
EGY,2018,249751.0816,2407.453633
EGY,2019,317359.2932,3004.765068
EGY,2020,369308.7214,3436.544558
EGY,2021,405910.8527,3715.017037
SLV,2008,17986.88624,2964.171521
SLV,2009,17601.61601,2889.685232
SLV,2010,18447.92244,3017.307793
SLV,2011,20283.78366,3304.97478
SLV,2012,21386.15302,3471.051758
SLV,2013,21990.96205,3555.162431
SLV,2014,22593.4724,3638.518044
SLV,2015,23438.23794,3761.513349
SLV,2016,24191.43,3870.312982
SLV,2017,24979.19,3986.049014
SLV,2018,26020.85374,4145.862946
SLV,2019,26896.66102,4282.759818
